taxon_no,taxon_name
291065,Pronaidites
7255,Lumbricopsis
7395,Aenigmatectus
7396,Hercolepas
7387,Carnicoleus
7388,Clarkeolepis
7390,Lepidocoleus
7392,Sokolophocoleus
7381,Ambonlepidos
7382,Aulakolepos
7383,Deltacoleus
7384,Mojczalepas
7385,Plicacoleus
7389,Compacoleus
7391,Plumulites
7393,Turrilepas
91490,Kenostrychus
7024,Meringosoma
7025,Raphidiophorus
7142,Archarenicola
7143,Arenicola
7027,Aglaurides
7028,Albertaprion
7029,Anisocerasites
7030,Arabella
7031,Arabellites
7032,Archaeoprion
7033,Brochosogenys
7034,Delosites
7035,Diopatraites
7036,Dorvillea
7037,Drilonereis
7038,Elleriprion
7039,Eunice
7040,Eunicites
7041,Euryprion
7042,Falkosites
7043,Gotlandites
7044,Hadoprion
7045,Halla
7046,Hindenites
7047,Hindeoprion
7048,Kalloprion
7049,Kettnerites
7050,Lanceolatites
7051,Langeites
7052,Lumbriconereis
149919,Lumbriconereites
7053,Lysaretides
7054,Marlenites
7055,Marphysaites
7056,Microdactylophora
7057,Mochtyella
7058,Multiprion
7059,Nereidavus
7060,Nothrites
7061,Notocirrus
7062,Oblongiprion
7063,Oenonites
7064,Onuphis
7065,Ophryotrocha
7066,Orthopelta
7067,Ottawella
7068,Oxyprion
7069,Palaeodactylophora
7070,Palaeopelyx
7071,Paleononites
7072,Palurites
7073,Paragnathites
7074,Pernerites
7076,Pistoprion
7077,Polychaetaspis
7078,Praelumbrinereis
7079,Processoprion
7080,Protarabellites
7081,Pteropelta
7082,Ramphoprion
7083,Rhamphegenys
7084,Rhytiprion
7085,Schistomeringos
7086,Sciotoprion
7087,Serratula
7088,Skalenoprion
7089,Staurocephalites
7090,Symmetroprion
7091,Tetraprion
7092,Trentonia
7093,Trianguligenys
7094,Uncinogenys
7095,Xanioprion
7075,Phiops
7097,Arites
7101,Ctenoscolex
7102,Didontogaster
7103,Dinoscolites
7104,Dryptoscolex
7105,Eotomopteris
7106,Esconites
7107,Fastuoscolex
7108,Fossundecima
7109,Glycera
7110,Glycerites
7111,Goniada
7112,Homaphrodites
7113,Hystriciola
7114,Ildraites
7115,Levisettius
7116,Melanoraphia
7117,Ottawina
7118,Palaeoaphrodite
7119,Palaeochaeta
7120,Paleonereites
7121,Paradrilonereigenys
7122,Paraglycerites
7123,Paranereites
7124,Pieckonia
7125,Praeglycera
7126,Pronereites
7127,Protonympha
7128,Rutellifrons
7129,Siphonostomites
7130,Stauronereisites
7131,Sthenelaites
7132,Thalenessites
7133,Triadonereis
7134,Ungulites
7100,Carbosesostris
7098,Astreptoscolex
201227,Alpinotubus
80759,Barbafera
171760,Carpathiella
7173,Ditrupa
82081,Dorsoserpula
7175,Filograna
108887,Filogranites
97790,Janua
7188,Josephella
7191,Mercierella
7202,Parsimonia
82082,Pentaserpula
98750,Pomatoceras
7212,Protula
274420,Pseudovermilia
72101,Ruxingella
97789,Semivermilia
7222,Serpula
271145,Spirobranchus
72102,Weixiserpula
7161,Asterosalpinx
7162,Bipygmaeus
7163,Camptosalpinx
7164,Cementula
7165,Chaetosalpinx
7166,Circeis
7167,Clavulites
7168,Conora
7169,Cubiculovinea
7170,Cycloserpula
7171,Diploconcha
7172,Discouvermetulus
7174,Ditrupula
7176,Filogranula
7177,Flucticularia
7178,Galeolaria
7179,Genicularia
7180,Gitonia
55646,Glomerula
7181,Hamulus
7182,Hicetes
7183,Howellitubus
7184,Hydroides
7185,Iquitosia
7186,Janita
7187,Jereminella
7189,Laqueoserpula
7190,Longitubus
7192,Metalaeospira
7193,Metavermilia
55647,Mucroserpula
7194,Muroserpula
7195,Neodexiospira
7196,Neomicrorbis
7197,Neovermilia
7198,Ornatoporta
7199,Orthoconorca
7200,Paliurus
7201,Paralaeospira
7203,Pegmaticula
7204,Pentaditrupa
7205,Phragmosalpinx
7206,Pileolaria
7207,Placostegus
7208,Pomatoceros
7209,Propomatoceros
7210,Protectoconorca
7211,Proterula
7213,Protulites
7214,Protulophila
7215,Pyrgopolon
7216,Rotularia
7217,Salmacina
7218,Sarcinella
7219,Sclerostyla
7220,Semiserpula
7221,Serpentula
7223,Serpularia
7224,Serpulites
7225,Serpulopsis
7226,Sinuocornu
7227,Spiraserpula
7230,Streptindytes
7231,Tetraserpula
7232,Torlessia
7233,Turbinia
7234,Vepreculina
7235,Vermilia
7236,Vermiliopsis
7136,Dodecaceria
7139,Sabellaria
7145,Amphictene
7146,Crininicaminus
7147,Cryptosiphon
7148,Lepidenteron
7149,Paraterebella
7150,Pectinaria
7151,Proterebella
7152,Psammosiphon
7153,Scolecoderma
7154,Streblosoma
7155,Terebella
7156,Terebellites
7157,Terebellolites
7158,Titahia
151319,Phragmochaeta
245276,Osedax
271146,Meandropolydora
7138,Polydora
7238,Bundenbachochaeta
7240,Campylites
66894,Caprascolex
7241,Ebetallites
7242,Eopolychaetus
7243,Eotrophonia
7244,Epitrachys
7245,Haileyia
7246,Hammatopsis
