taxon_no,taxon_name
154828,Abadiellidae
141744,Abertellidae
114887,Abrograptidae
58937,Abyssochrysidae
85479,Acanthinocyathidae
95294,Acanthoceratidae
112025,Acanthochaetetidae
58938,Acanthochitonidae
112023,Acanthocladiidae
92853,Acanthoclymeniidae
120394,Acanthonematidae
126978,Acanthothirididae
266344,Acanthuridae
56892,Acastidae
110412,Acervulariidae
324104,Achatinidae
320807,Acheilognathidae
161986,Achistridae
120152,Aciculidae
63027,Acipenseridae
127903,Acleistoceratidae
58957,Aclididae
110262,Acmaeidae
142861,Acratiidae
133069,Acrioceratidae
92927,Acrocanitidae
154913,Acrocephalitidae
86672,Acrochordiceratidae
65552,Acrocrinidae
64920,Acrodontidae
100275,Acrolepidae
312825,Acroloxidae
113894,Acrophyllidae
266286,Acropomatidae
55537,Acroporidae
106817,Acrosaleniidae
108264,Acrosmiliidae
127404,Acrospiriferidae
85358,Acrothelidae
68771,Acrotretidae
58981,Acteocinidae
122496,Acteonellidae
58989,Acteonidae
88826,Acteoninidae
54230,Actinacididae
53602,Actinastreidae
344464,Actiniidae
98725,Actinoceratidae
129870,Actinocrinitidae
108057,Actinodictyidae
58992,Actinodontophoridae
150027,Actinolepidae
57040,Actinostromarianinidae
57039,Actinostromariidae
108066,Actinostromatidae
108072,Actinostromellidae
140083,Actinotrypidae
330360,Actisecidae
58234,Acutichitonidae
110257,Addisoniidae
124224,Adensuidae
118658,Adeonellidae
118657,Adeonidae
113105,Adeorbidae
82581,Admetidae
80981,Admiratellidae
70271,Adociidae
127252,Adolfiidae
93157,Adrianitidae
241815,Aechminellidae
180820,Aechminidae
202046,Aeduellidae
210726,Aegeridae
306455,Aegiromenidae
133603,Aeglidae
130225,Aegocrioceratidae
168532,Aeropsidae
123546,Aesiocrinidae
199089,Aesopichthyidae
68968,Aethridae
151718,Agaleidae
80958,Aganasteridae
83139,Agariciidae
152003,Agassizocrinidae
149811,Agassizodontidae
58371,Agatheliidae
93000,Agathiceratidae
112878,Agathiphylliidae
85391,Agelacrinitidae
116350,Agetolitidae
142296,Aglaspididae
206379,Aglithodictyidae
82583,Agnostidae
92818,Agoniatitidae
266387,Agonidae
133144,Agraulidae
327488,Agriolimacidae
128365,Aipoceratidae
199561,Aktubonautilidae
64279,Alabushevothyrididae
143946,Alastegiidae
109023,Alatoconchidae
185488,Albanitidae
63042,Albulidae
173116,Albuneidae
70825,Aldanellidae
330784,Alderinidae
154943,Aldonaiidae
265747,Alepocephalidae
265772,Alestidae
66133,Allagecrinidae
85371,Allanicytidiidae
104554,Allathecidae
59020,Allodesmatidae
123330,Allorhynchidae
122483,Allotrioceratidae
299771,Allwynellidae
95305,Alokistocaridae
83153,Alopiidae
215233,Alpheidae
80798,Alpinophylliidae
322705,Alpinothalamiidae
154938,Alsataspididae
85951,Alveolitidae
215169,Alvinocarididae
185591,Amaltheidae
59025,Amathinidae
335527,Amblemidae
90358,Amblypteridae
111678,Ambocoeliidae
57656,Ambonychiidae
154956,Amgaspididae
56536,Amiidae
95215,Ammagnostidae
82280,Ammodytidae
119152,Amnicolidae
198355,Ampelocrinidae
70596,Ampezzanildidae
54242,Amphiastreidae
126831,Amphipellidae
108090,Amphiporidae
170833,Amphisopidae
165688,Amphissitidae
124286,Amphistrophiidae
337753,Amphitomariidae
80863,Amphiuridae
290858,Amplectobeluidae
110338,Amplexidae
197933,Amplexoporidae
59048,Ampullariidae
59051,Ampullinidae
113895,Amsdenoididae
338774,Amygdalocystitidae
118914,Anabaritidae
149809,Anachronistidae
58872,Anacoracidae
339222,Anadromidae
92859,Anarcestidae
277031,Anaspididae
59100,Anatinellidae
111571,Anatomidae
127040,Anazygidae
310691,Anchignathodontidae
253045,Ancistrobasidae
125912,Ancistrorhynchidae
187328,Ancorinidae
94467,Ancyloceratidae
108261,Andemantastraeidae
86838,Anderssonoceratidae
155534,Andrarinidae
230870,Anetshellidae
172735,Angullongiidae
125059,Angusticardiniidae
80655,Angusticornidae
127383,Angustothyrididae
96545,Anisoceratidae
115066,Anisophyllidae
130220,Anisotrypidae
332991,Annaecoeliidae
327113,Annectocymidae
126596,Annuliconchidae
219954,Anobasicrinidae
266531,Anolotichiidae
120985,Anomalocarididae
288832,Anomalocystitidae
124970,Anomalorthidae
59135,Anomiidae
154955,Anomocarellidae
95299,Anomocaridae
57128,Anomphalidae
54990,Anopliidae
126932,Anoplothecidae
316274,Anoptambonitidae
72353,Anoptychiidae
168454,Anorthopygidae
118719,Anozygidae
133817,Antagmidae
151527,Antarctilamnidae
58893,Anthaspidellidae
106651,Anthemiphylliidae
92971,Anthracoceratidae
350522,Anthracocrinidae
118723,Anthracopupidae
59139,Anthracosiidae
127185,Anthracosyconidae
112455,Antillocaprinidae
114685,Antiphyllidae
59144,Antipleuridae
134378,Antronestheriidae
118661,Antroporidae
127384,Antzeilleridae
166211,Aparchitidae
168463,Apatopygidae
133754,Aphelaspididae
205753,Aphelecrinidae
81555,Aphrocallistidae
115428,Aphrophyllidae
70164,Aphrosalpingidae
109486,Apiocrinidae
305900,Apiocrinitidae
86689,Aplococeratidae
119498,Aplocomidae
144038,Apocrinoceratidae
53986,Apogonidae
144659,Apographiocrinidae
53504,Aporrhaidae
128205,Apsidoceratidae
163060,Apycnodiscidae
110408,Arachnophyllidae
118736,Arachnopusiidae
223910,Araeonematidae
124865,Araksalosiidae
150070,Arandaspididae
248972,Araripichthyidae
82317,Araxoceratidae
85987,Araxoporidae
151221,Arbaciidae
86839,Arcestidae
154132,Archaeaspididae
302317,Archaeobalanidae
154873,Archaeobatidae
82424,Archaeocidaridae
250820,Archaeolamnidae
70826,Archaeophialidae
70827,Archaeopragidae
126949,Archaeorthidae
59169,Archanodontidae
167202,Archiaciidae
127911,Archiacoceratidae
58326,Archinacellidae
149854,Archipelepididae
59186,Architectonicidae
59188,Arcidae
59196,Arcticidae
199659,Arcticoporidae
149468,Arctoceratidae
124915,Arctohedridae
150025,Arctolepidae
346855,Areneidae
124881,Areostrophiidae
133889,Arganodontidae
265818,Argentinidae
327589,Argnidae
88934,Argonautidae
204843,Arietitidae
63114,Ariidae
153741,Arionoceratidae
227560,Arkacrinidae
122536,Armenoceratidae
85413,Arthrostylidae
82596,Asaphidae
84728,Asaphiscidae
318914,Ascarididae
127816,Ascoceratidae
118666,Ascodictyidae
126087,Aseptorhynchiidae
86659,Aspenitidae
213372,Asperocrinidae
244506,Aspidoceratidae
168409,Aspidodiadematidae
63029,Aspidorhynchidae
118724,Aspidostomatidae
59205,Assimineidae
149536,Astacidae
59206,Astartidae
53911,Asteriidae
81139,Asterinidae
204846,Asteroceratidae
81212,Asterodiscididae
149967,Asterolepididae
80874,Asteronychidae
168549,Asterostomatidae
205700,Asthenospongiidae
58370,Astraeomorphidae
112524,Astraeospongiidae
89062,Astraraeidae
293912,Astraspididae
168492,Astriclypeidae
187556,Astrocladiidae
81718,Astrocoeniidae
345560,Astrocystitidae
53788,Astropectinidae
104622,Astroscleridae
82015,Astylospongiidae
266925,Atactotoechidae
83535,Ataphridae
91704,Ataxioceratidae
304914,Ateleaspidae
63283,Atelecyclidae
108059,Atelodictyidae
266170,Atherinidae
81197,Athyrididae
59234,Atlantidae
92828,Atlantoceratidae
161405,Atomodesmatidae
155019,Atopidae
82778,Atriboniidae
86575,Atrypidae
127027,Atrypinidae
122379,Aturiidae
59250,Atyidae
92815,Auguritidae
108048,Aulaceratidae
122270,Aulaceridae
182773,Aulacoceratidae
56890,Aulacopleuridae
309562,Aulacostephanidae
130693,Aulacothyropsidae
54423,Aulastraeoporidae
82995,Aulocalycidae
171654,Aulochitonidae
122131,Aulocystidae
122129,Auloheliidae
124190,Aulonotretidae
89455,Aulophyllidae
81480,Auloporidae
81188,Aulostegidae
70217,Auriculospongiidae
137525,Australothecidae
126819,Austrirhynchidae
59276,Aviculopectinidae
100714,Axiidae
115438,Axophyllidae
68935,Axosmiliidae
82979,Azoricidae
151493,Aztecodontidae
310079,Babanicrinidae
59283,Babinkidae
82322,Bactritidae
127097,Bactryniidae
59287,Baculitidae
86918,Badiotitidae
63111,Bagridae
142852,Bairdiidae
169407,Bairdiocyprididae
122124,Bajgoliidae
59288,Bakevelliidae
82260,Balanidae
86673,Balatonitidae
126858,Balatonospiridae
132676,Balistidae
145980,Balkoceratidae
324251,Balognathidae
103402,Baltoceratidae
125070,Bananogmiidae
244557,Bandringidae
88907,Bangtoupocrinidae
59324,Barleeidae
330686,Barrandeoceratidae
128197,Barrandoceratidae
205750,Barycrinidae
86613,Basiliolidae
103600,Bassleroceratidae
122462,Bathmoceratidae
133813,Bathycheilidae
305640,Bathycrinidae
265819,Bathylagidae
304966,Bathynotidae
124260,Bathyuridae
214925,Batocrinidae
118670,Batoporidae
317122,Batostomellidae
83225,Batrachoididae
155075,Bavarillidae
104735,Bdellacomidae
142301,Beckwithiidae
249774,Beecherellidae
123819,Beecheriidae
151667,Belantseidae
144345,Belemnitellidae
129907,Belemnitidae
111098,Belemnopseidae
258546,Belemnoteuthididae
118569,Bellerophinidae
54564,Bellerophontidae
286996,Bellinuridae
92854,Beloceratidae
266180,Belonidae
317194,Belosepiidae
86660,Beneckeiidae
53912,Benthopectinidae
92986,Berkhoceratidae
169399,Berounellidae
266077,Berycidae
114677,Bethanyphyllidae
110789,Beyrichiidae
170746,Beyrichiopsidae
172630,Beyrichitidae
142247,Beyrichonidae
315960,Bicellariellidae
124201,Biernatidae
315967,Bifaxariidae
155127,Bigotinidae
116160,Billingsariidae
124904,Billingsellidae
93188,Biloclymeniidae
103911,Bimuriidae
134167,Binneyitidae
54880,Birgeriidae
304817,Birkeniidae
93048,Bisatoceratidae
118701,Bitectiporidae
59384,Bithyniidae
126841,Bittnerulidae
348886,Blastocystidae
266198,Blenniidae
219598,Blepharipodidae
127953,Blochiidae
129876,Blothrocrinidae
99755,Bobasatraniidae
129922,Bochianitidae
80684,Bohemiellidae
155130,Bohemillidae
154914,Bolaspididae
187308,Bolliidae
130465,Boreiothyrididae
208322,Boreolepidae
343349,Borsoniidae
82282,Bothidae
168787,Bothriocidaridae
259726,Bothriolepididae
115083,Bothrophyllidae
203988,Botryocrinidae
117840,Botsfordiidae
130711,Bouchardiidae
154884,Brachaeluridae
205797,Brachiospongiidae
122652,Brachycycloceratidae
292191,Brachycytheridae
302974,Brachylepadidae
56732,Brachymetopidae
106724,Brachyphylliidae
206648,Brachyschismatidae
83499,Brachythyrididae
118581,Brachytrematidae
134236,Bradoriidae
82272,Branchiostegidae
96537,Brancoceratidae
58092,Bransoniidae
133524,Bregmacerotidae
170397,Brembodontidae
127898,Brevicoceratidae
123536,Bridgerocrinidae
167165,Brissidae
118684,Bryocryptellidae
