from,to,value
114690,114690,1
110477,110477,7
110477,124305,1
110477,110486,1
126845,126845,5
204843,204843,73
204843,61544,2
204843,60231,2
204843,61034,1
204843,61248,2
204843,86842,1
204843,80668,1
98348,98348,2
204846,204846,1
204856,204856,1
57422,57422,1
131154,131154,83
131154,132892,1
131154,59786,1
131154,97848,1
131154,95937,1
131154,71770,1
131154,244506,1
131154,64671,12
155740,155740,1
155740,147961,1
82015,82015,1
92859,92859,2
82020,82020,5
92861,92861,1
124265,124265,4
124265,60654,1
124265,68767,1
124265,127040,1
124265,307368,1
124265,85372,1
124265,103550,1
124265,88791,2
80577,80577,5
80577,80609,1
80577,63010,1
80577,80587,1
90262,90262,5
90262,59784,1
90262,60263,1
90262,61248,1
126849,126849,2
82086,82086,14
82086,82093,1
82086,166233,1
82086,142861,2
82086,142841,2
82086,142852,5
82086,166220,1
82093,82093,3
82093,82086,1
82109,82109,2
82109,61529,1
82109,61660,1
82109,59188,1
82109,59532,1
82109,60971,1
82109,62601,1
82109,61454,1
82109,111607,1
82109,62779,1
82109,71770,1
82109,96536,1
82109,327112,1
82109,118740,1
82110,82110,2
82110,60971,1
82110,61764,1
82110,162995,1
82110,162998,1
90356,90356,163
90356,123330,4
90356,82384,3
90356,123376,2
90356,82418,1
90356,82772,8
90356,82774,4
90356,123793,9
90356,123797,3
90356,123821,3
90356,82918,4
90356,82924,70
90356,82926,2
90356,82942,1
90356,123906,6
90356,83096,6
90356,83499,1
90356,59276,2
90356,125090,2
90356,84435,1
90356,59945,1
90356,82361,1
90356,81115,2
90356,81131,6
90356,61078,1
90356,110315,3
90356,61231,2
90356,110592,1
90356,340686,1
90356,70088,1
90356,62032,1
90356,86702,2
90356,111716,1
90356,54460,4
90356,70846,1
90356,54564,12
90356,128301,2
90356,112024,1
90356,81476,1
90356,54989,4
90356,54990,1
90356,104296,4
90356,80690,1
90356,129501,1
90356,80694,2
90356,146272,2
90356,81033,6
90356,81161,1
90356,81181,7
90356,81193,4
90356,81195,1
90356,81196,1
90356,81197,20
90356,81200,2
90356,130432,1
90356,57116,1
90356,57121,2
90356,81702,2
90356,57136,1
92885,92885,6
92885,92900,2
92885,259697,1
82189,82189,1
82189,118684,1
61486,61486,597
61486,82260,1
61486,59206,22
61486,61938,19
61486,61529,16
61486,90696,4
61486,205697,1
61486,82897,3
61486,337411,1
61486,58989,13
61486,60350,39
61486,59051,3
61486,59100,1
61486,61660,36
61486,59135,26
61486,59186,5
61486,59188,318
61486,59425,7
61486,59441,2
61486,59508,21
61486,59518,57
61486,59527,1
61486,59532,150
61486,59551,35
61486,59582,3
61486,59662,2
61486,59790,173
61486,59819,105
61486,59856,2
61486,59874,161
61486,59901,37
61486,59945,3
61486,59984,12
61486,60003,16
61486,133740,1
61486,62284,17
61486,60075,60
61486,60156,14
61486,62834,55
61486,60263,74
61486,60284,4
61486,60318,1
61486,60359,2
61486,60369,2
61486,60473,11
61486,60542,4
61486,60587,6
61486,60654,26
61486,60824,2
61486,60868,18
61486,60871,19
61486,60971,94
61486,61026,11
61486,61034,1
61486,61053,38
61486,61090,14
61486,62601,9
61486,61164,61
61486,61190,5
61486,61223,131
61486,61232,6
61486,61248,27
61486,61264,147
61486,61339,1
61486,61374,3
61486,61404,12
61486,61453,10
61486,61454,106
61486,86084,18
61486,59409,107
61486,61581,21
61486,61680,3
61486,61700,4
61486,61719,1
61486,61721,5
61486,61725,1
61486,61764,1
61486,61791,4
61486,61797,3
61486,61890,4
61486,61893,18
61486,86571,1
61486,62032,12
61486,62136,53
61486,60445,5
61486,62242,1
61486,62180,1
61486,62214,20
61486,89561,1
61486,62264,1
61486,62318,2
61486,54200,6
61486,62293,11
61486,62468,111
61486,62493,74
61486,62518,4
61486,62521,17
61486,62536,1
61486,62543,8
61486,62584,2
61486,62596,2
61486,62322,14
61486,62644,9
61486,62646,8
61486,54460,1
61486,62680,165
61486,62724,27
61486,62747,1
61486,341281,3
61486,62779,276
61486,62103,73
61486,62823,4
61486,62838,5
61486,62877,1
61486,62364,10
61486,60479,58
61486,251925,1
61486,62142,8
61486,86967,1
61486,59889,27
61486,337088,1
61486,89382,1
61486,61317,14
61486,89607,2
61486,62082,2
61486,55363,90
61486,81743,1
61486,81747,1
61486,60047,7
61486,62796,6
98582,98582,2
98582,118679,1
98582,98591,2
98582,118664,1
98582,118701,1
98582,118775,1
98585,98585,1
98585,59760,1
98585,118664,1
98585,111610,1
90394,90394,1
90399,90399,2
90399,80681,2
90417,90417,1
90417,205702,1
90417,150995,1
127945,127945,1
127945,82267,1
127945,59206,1
127945,65852,1
127945,61660,1
127945,133524,1
127945,60542,1
106807,106807,1
106807,55537,1
57656,57656,2
57656,61231,1
65854,65854,1
65854,83225,1
65854,63613,1
65854,244246,1
106817,106817,1
80609,80609,3
80609,80577,1
80609,131683,1
80609,83181,1
80609,83183,1
80609,60542,1
80609,118028,1
80609,83104,1
98634,98634,9
98634,124305,1
98634,61660,1
98634,108081,2
98634,85404,1
98634,110296,2
98634,110408,1
98634,86034,1
98634,70088,1
98634,127903,1
98634,87267,2
98634,56893,1
98634,110415,1
98634,122536,1
98634,122575,1
82260,82260,9
82260,61486,1
82260,59188,1
82260,59819,1
82260,62779,1
82260,81743,1
82267,82267,1
82267,127945,1
82267,59206,1
82267,65852,1
82267,61660,1
82267,133524,1
82267,60542,1
124304,124304,7
124304,82396,1
124304,123363,1
124304,84998,3
124304,124884,1
124304,96833,1
213351,213351,1
213351,213421,1
213351,218826,1
59206,59206,319
59206,61486,22
59206,127945,1
59206,82267,1
59206,65852,1
59206,61938,13
59206,61529,7
59206,61544,13
59206,82897,14
59206,132083,1
59206,61636,1
59206,83183,1
59206,165267,10
59206,148887,1
59206,337411,1
59206,58989,22
59206,60350,15
59206,59051,2
59206,61660,31
59206,59135,19
59206,59188,72
59206,59196,1
59206,59276,1
59206,59288,21
59206,59508,1
59206,59518,21
59206,59532,68
59206,59551,15
59206,59662,1
59206,59790,32
59206,133524,1
59206,59819,37
59206,59874,88
59206,59901,3
59206,59945,8
59206,59984,4
59206,60003,41
59206,62284,5
59206,60075,39
59206,60156,3
59206,62834,26
59206,70200,1
59206,60231,16
59206,60263,25
59206,60284,5
59206,60359,2
59206,60473,31
59206,60542,22
59206,60654,47
59206,60714,5
59206,60756,5
59206,60824,4
59206,60868,10
59206,60871,49
59206,60971,58
59206,61026,15
59206,61034,6
59206,61053,6
59206,61090,1
59206,62601,1
59206,61164,16
59206,61190,10
59206,61223,26
59206,61232,16
59206,61248,51
59206,61264,17
59206,61404,1
59206,61453,15
59206,61454,66
59206,86084,56
59206,59409,17
59206,61581,11
59206,61605,30
59206,61680,1
59206,61700,11
59206,61721,5
59206,61725,21
59206,61764,9
59206,61832,5
59206,81304,1
59206,61890,5
59206,61893,3
59206,86603,1
59206,62032,1
59206,62136,2
59206,60445,7
59206,62214,24
59206,86842,1
59206,62318,4
59206,54200,7
59206,62293,1
59206,62468,61
59206,62493,16
59206,62521,25
59206,301243,3
59206,62573,7
59206,95369,1
59206,62322,1
59206,62680,53
59206,62724,16
59206,62779,91
59206,62103,43
59206,60479,38
59206,61028,1
59206,71770,11
59206,96536,4
59206,95294,1
59206,62142,1
59206,80587,1
59206,244506,3
59206,244246,12
59206,89382,3
59206,61317,1
59206,130673,3
59206,55363,11
59206,60047,1
59206,62796,6
115072,115072,2
115076,115076,1
115076,81033,1
106895,106895,4
106895,54200,1
106895,81747,1
82329,82329,3
82329,166364,1
82347,82347,5
82347,59288,1
213421,213421,2
213421,213351,1
213421,218826,1
82350,82350,2
82350,61660,1
82350,60654,1
84723,84723,2
84723,59856,1
65852,65852,1
65852,127945,1
65852,82267,1
65852,59206,1
65852,61660,1
65852,133524,1
65852,60542,1
82359,82359,3
82359,82361,1
82359,61997,1
123321,123321,3
123321,124831,1
123321,86571,1
123321,97461,1
123330,123330,10
123330,90356,4
123330,123376,1
123330,123793,1
123330,123797,1
123330,123821,1
123330,82918,1
123330,82924,2
123330,82942,1
123330,123906,1
123330,83096,1
123330,81131,1
123330,81476,1
123330,104296,3
123330,80694,2
123330,81197,2
82375,82375,5
82375,59874,1
82375,112024,1
82375,81033,1
82375,81197,1
82384,82384,24
82384,90356,3
82384,94946,1
82384,82772,3
82384,82774,2
82384,82924,4
82384,59276,1
82384,125354,2
82384,61891,1
82384,60231,1
82384,199542,1
82384,60542,1
82384,81115,2
82384,81131,3
82384,61035,1
82384,61231,1
82384,110424,1
82384,127370,1
82384,87270,1
82384,61996,1
82384,81033,2
82384,81196,1
82384,81197,1
66010,66010,7
66010,107145,1
66010,83139,1
66010,54200,2
66010,54202,1
66010,81747,1
82396,82396,99
82396,124304,1
82396,123363,1
82396,124290,6
82396,61660,1
82396,59532,1
82396,84994,1
82396,84998,3
82396,62601,1
82396,86034,1
82396,86574,1
82396,86575,1
82396,119742,1
82396,54460,1
82396,121188,1
82396,96833,1
82396,86572,9
82396,86573,6
82396,61996,1
82396,81129,1
82396,114152,1
82400,82400,1
82400,204093,1
82400,204078,1
82400,55363,1
123363,123363,6
123363,124304,1
123363,82396,1
123363,61660,1
123363,59532,1
123363,84998,3
123363,86034,1
123363,86574,1
123363,86575,2
123363,119742,1
123363,121188,1
123363,86572,1
123363,81161,1
123363,114152,1
123376,123376,2
123376,90356,2
123376,123330,1
123376,82924,1
123376,81476,1
61938,61938,105
61938,61486,19
61938,59206,13
61938,61529,5
61938,82897,3
61938,58989,1
61938,59051,1
61938,59100,1
61938,61660,18
61938,59135,14
61938,59188,40
61938,59425,1
61938,59508,2
61938,59518,3
61938,59532,38
61938,59551,17
61938,59601,1
61938,59662,2
61938,59790,7
61938,59819,12
61938,59856,2
61938,59874,28
61938,59901,4
61938,59984,1
61938,60003,8
61938,62284,4
61938,60075,4
61938,60156,5
61938,62834,12
61938,60263,7
61938,60284,4
61938,60473,4
61938,60542,4
61938,60654,18
61938,60756,5
61938,60824,1
61938,60868,9
61938,60871,2
61938,60971,33
61938,61026,21
61938,61034,2
61938,61053,10
61938,61072,2
61938,61090,4
61938,62601,1
61938,61164,8
61938,61190,5
61938,61223,12
61938,61232,9
61938,61248,12
61938,61264,24
61938,61374,2
61938,61404,2
61938,61453,4
61938,61454,31
61938,86084,7
61938,59409,8
61938,61581,6
61938,61680,4
61938,61700,6
61938,61721,4
61938,61725,4
61938,61764,2
61938,61791,1
61938,61832,1
61938,61893,5
61938,62032,2
61938,62136,2
61938,60445,5
61938,62214,7
61938,62293,10
61938,62468,40
61938,62493,8
61938,62518,1
61938,62521,12
61938,62322,1
61938,62644,1
61938,62680,20
61938,62724,22
61938,62747,1
61938,62779,50
61938,62103,9
61938,60479,11
61938,59889,4
61938,89382,1
61938,61317,2
61938,55363,15
61938,60047,1
61938,62796,2
82418,82418,11
82418,90356,1
82418,58229,1
82418,123858,1
82418,123906,1
82418,61997,1
82418,61078,2
82418,61970,2
82418,161405,1
82418,54989,1
82418,244153,1
82418,81033,3
147961,147961,28
147961,155740,1
147961,58712,1
147961,61725,1
147961,154067,1
147961,154940,1
82433,82433,2
82447,82447,1
82447,59874,1
123408,123408,15
123408,123412,2
82452,82452,2
61529,61529,301
61529,82109,1
61529,61486,16
61529,59206,7
61529,61938,5
61529,61636,2
61529,165267,2
61529,58989,1
61529,60350,7
61529,59051,1
61529,61660,41
61529,59135,5
61529,59188,65
61529,59196,2
61529,59508,1
61529,59518,4
61529,59532,37
61529,59551,50
61529,59662,2
61529,59672,1
61529,59790,16
61529,59819,20
61529,59856,4
61529,59874,45
61529,59901,10
61529,59945,3
61529,62284,2
61529,60075,9
61529,62834,20
61529,60231,1
61529,81036,1
61529,60263,6
61529,60542,8
61529,60654,7
61529,60868,5
61529,60871,1
61529,60971,34
61529,61026,8
61529,61034,1
61529,61053,12
61529,61072,1
61529,61090,7
61529,62601,1
61529,61164,11
61529,61223,12
61529,61232,4
61529,61248,14
61529,61264,34
61529,61404,4
61529,61453,3
61529,61454,18
61529,86084,1
61529,59409,11
61529,61581,1
61529,61605,2
61529,184513,1
61529,61700,2
61529,61721,6
61529,61725,4
61529,61791,6
61529,61893,10
61529,62136,4
61529,62242,1
61529,62180,2
61529,54230,1
61529,111607,1
61529,62293,10
61529,62468,18
61529,62493,9
61529,62518,4
61529,62521,2
61529,62322,2
61529,62644,2
61529,62680,13
61529,62724,10
61529,62747,1
61529,62779,64
61529,62103,1
61529,62364,1
61529,60479,13
61529,112873,2
61529,59889,8
61529,244246,1
61529,162998,1
61529,89382,1
61529,61317,1
61529,327112,1
61529,122379,1
61529,62082,1
61529,55363,24
61529,118740,1
94946,94946,2
94946,82384,1
118679,118679,1
118679,98582,1
118679,98591,1
118679,118701,1
118679,118775,1
62902,62902,2
90696,90696,6
90696,61486,4
90696,59518,1
90696,59532,1
90696,59874,6
90696,60075,2
90696,62834,2
90696,61223,1
90696,61264,2
90696,59409,1
90696,61719,1
90696,62242,1
90696,62468,1
90696,62680,2
