Max Age (Ma),Min Age (Ma),mindat ID,Locality containing Mineral,Tectonic Settings,Dated Locality ID,Dated Locality (Max Age),Lat Deg,Lat Min,Lat Sec,Lon Deg,Lon Min,Lon Sec,Decimal Degree,Mineral Name (plain),RRUFF Chemistry (plain),RRUFF Chemistry (concise),Chemistry Elements,Country of Type Locality,Structural Groupname,Fleischers Groupname
2.6,1.8,226843,"Khanneshin Complex, Dushan District, Helmand Province (Hilmend Province; Hilmand Province), Afghanistan",,226843,"Khanneshin Complex, Dushan District, Helmand Province (Hilmend Province; Hilmand Province), Afghanistan",30,28,19,63,34,50,"30.471944444444,63.580555555556",Ankerite,CaFe<sup>2+</sup>(CO<sub>3</sub>)<sub>2</sub>,CaFe^2+^(CO_3_)_2_,Ca Fe C O,Austria,Dolomite,dolomite
2.6,1.8,226843,"Khanneshin Complex, Dushan District, Helmand Province (Hilmend Province; Hilmand Province), Afghanistan",,226843,"Khanneshin Complex, Dushan District, Helmand Province (Hilmend Province; Hilmand Province), Afghanistan",30,28,19,63,34,50,"30.471944444444,63.580555555556",Aragonite,CaCO<sub>3</sub>,CaCO_3_,Ca C O,Spain,Aragonite,aragonite
2.6,1.8,226843,"Khanneshin Complex, Dushan District, Helmand Province (Hilmend Province; Hilmand Province), Afghanistan",,226843,"Khanneshin Complex, Dushan District, Helmand Province (Hilmend Province; Hilmand Province), Afghanistan",30,28,19,63,34,50,"30.471944444444,63.580555555556",Burbankite,"(Na,Ca)<sub>3</sub>(Sr,Ba,Ce)<sub>3</sub>(CO<sub>3</sub>)<sub>5</sub>","(Na,Ca)_3_(Sr,Ba,Ce)_3_(CO_3_)_5_",Na Ca Sr Ba Ce C O,USA,Burbankite,burbankite
2.6,1.8,226843,"Khanneshin Complex, Dushan District, Helmand Province (Hilmend Province; Hilmand Province), Afghanistan",,226843,"Khanneshin Complex, Dushan District, Helmand Province (Hilmend Province; Hilmand Province), Afghanistan",30,28,19,63,34,50,"30.471944444444,63.580555555556",Calkinsite-(Ce),Ce<sub>2</sub>(CO<sub>3</sub>)<sub>3</sub>Â·4H<sub>2</sub>O,Ce_2_(CO_3_)_3_Â·4H_2_O,Ce C O H,USA,Â ,Â 
2.6,1.8,226843,"Khanneshin Complex, Dushan District, Helmand Province (Hilmend Province; Hilmand Province), Afghanistan",,226843,"Khanneshin Complex, Dushan District, Helmand Province (Hilmend Province; Hilmand Province), Afghanistan",30,28,19,63,34,50,"30.471944444444,63.580555555556",Carbocernaite,"(Sr,Ce,La)(Ca,Na)(CO<sub>3</sub>)<sub>2</sub>","(Sr,Ce,La)(Ca,Na)(CO_3_)_2_",Sr Ce La Ca Na C O,Russia,Â ,Â 
2.6,1.8,226843,"Khanneshin Complex, Dushan District, Helmand Province (Hilmend Province; Hilmand Province), Afghanistan",,226843,"Khanneshin Complex, Dushan District, Helmand Province (Hilmend Province; Hilmand Province), Afghanistan",30,28,19,63,34,50,"30.471944444444,63.580555555556",Dolomite,CaMg(CO<sub>3</sub>)<sub>2</sub>,CaMg(CO_3_)_2_,Ca Mg C O,Italy,Dolomite,dolomite
2.6,1.8,226843,"Khanneshin Complex, Dushan District, Helmand Province (Hilmend Province; Hilmand Province), Afghanistan",,226843,"Khanneshin Complex, Dushan District, Helmand Province (Hilmend Province; Hilmand Province), Afghanistan",30,28,19,63,34,50,"30.471944444444,63.580555555556",Khanneshite,"(Na,Ca)<sub>3</sub>(Ba,Sr,Ce,Ca)<sub>3</sub>(CO<sub>3</sub>)<sub>5</sub>","(Na,Ca)_3_(Ba,Sr,Ce,Ca)_3_(CO_3_)_5_",Na Ca Ba Sr Ce C O,Afghanistan,Burbankite,burbankite
570,570,226501,"Jawhar Cu Deposit (Jawkhar), Khaki Jabar District (Khaki Jabbar District), Kabol Province (Kabul Province), Afghanistan",,226501,"Jawhar Cu Deposit (Jawkhar), Khaki Jabar District (Khaki Jabbar District), Kabol Province (Kabul Province), Afghanistan",34,18,57,69,18,10,"34.315833333333,69.302777777778",Malachite,Cu<sup>2+</sup><sub>2</sub>CO<sub>3</sub>(OH)<sub>2</sub>,Cu^2+^_2_CO_3_(OH)_2_,Cu C O H,unknown,Malachite,rosasite
570,570,226488,"Taghar Cu Deposit, Khaki Jabar District (Khaki Jabbar District), Kabol Province (Kabul Province), Afghanistan",,226488,"Taghar Cu Deposit, Khaki Jabar District (Khaki Jabbar District), Kabol Province (Kabul Province), Afghanistan",34,25,53,69,22,43,"34.431388888889,69.378611111111",Azurite,Cu<sup>2+</sup><sub>3</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>2</sub>,Cu^2+^_3_(CO_3_)_2_(OH)_2_,Cu C O H,France,Â ,Â 
570,570,226488,"Taghar Cu Deposit, Khaki Jabar District (Khaki Jabbar District), Kabol Province (Kabul Province), Afghanistan",,226488,"Taghar Cu Deposit, Khaki Jabar District (Khaki Jabbar District), Kabol Province (Kabul Province), Afghanistan",34,25,53,69,22,43,"34.431388888889,69.378611111111",Malachite,Cu<sup>2+</sup><sub>2</sub>CO<sub>3</sub>(OH)<sub>2</sub>,Cu^2+^_2_CO_3_(OH)_2_,Cu C O H,unknown,Malachite,rosasite
570,570,226455,"Ghuldarra No. 1 Cu Occurrence, Musayi District (Mussahi District), Kabol Province (Kabul Province), Afghanistan",,226455,"Ghuldarra No. 1 Cu Occurrence, Musayi District (Mussahi District), Kabol Province (Kabul Province), Afghanistan",34,23,53,69,18,20,"34.398055555556,69.305555555556",Malachite,Cu<sup>2+</sup><sub>2</sub>CO<sub>3</sub>(OH)<sub>2</sub>,Cu^2+^_2_CO_3_(OH)_2_,Cu C O H,unknown,Malachite,rosasite
