Max Age (Ma),Min Age (Ma),mindat ID,Locality containing Mineral,Tectonic Settings,Dated Locality ID,Dated Locality (Max Age),Lat Deg,Lat Min,Lat Sec,Lon Deg,Lon Min,Lon Sec,Decimal Degree,Mineral Name (plain),RRUFF Chemistry (plain),RRUFF Chemistry (concise),Chemistry Elements,Country of Type Locality,Structural Groupname,Fleischers Groupname
570,570,226501,"Jawhar Cu Deposit (Jawkhar), Khaki Jabar District (Khaki Jabbar District), Kabol Province (Kabul Province), Afghanistan",,226501,"Jawhar Cu Deposit (Jawkhar), Khaki Jabar District (Khaki Jabbar District), Kabol Province (Kabul Province), Afghanistan",34,18,57,69,18,10,"34.315833333333,69.302777777778",Cuprite,Cu<sup>1+</sup><sub>2</sub>O,Cu^1+^_2_O,Cu O,Germany,Â ,Â 
570,570,226501,"Jawhar Cu Deposit (Jawkhar), Khaki Jabar District (Khaki Jabbar District), Kabol Province (Kabul Province), Afghanistan",,226501,"Jawhar Cu Deposit (Jawkhar), Khaki Jabar District (Khaki Jabbar District), Kabol Province (Kabul Province), Afghanistan",34,18,57,69,18,10,"34.315833333333,69.302777777778",Ilmenite,Fe<sup>2+</sup>Ti<sup>4+</sup>O<sub>3</sub>,Fe^2+^Ti^4+^O_3_,Fe Ti O,Russia,Corundum,ilmenite
570,570,226501,"Jawhar Cu Deposit (Jawkhar), Khaki Jabar District (Khaki Jabbar District), Kabol Province (Kabul Province), Afghanistan",,226501,"Jawhar Cu Deposit (Jawkhar), Khaki Jabar District (Khaki Jabbar District), Kabol Province (Kabul Province), Afghanistan",34,18,57,69,18,10,"34.315833333333,69.302777777778",Magnetite,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Fe^2+^Fe^3+^_2_O_4_,Fe O,unknown,Spinel,spinel
1000,541,30622,"Aynak Central Prospect, Mohammad Agha District (Muhammad Agha District), Lowgar Province (Lawgar Province; Lawghar Province; Logar Province; Loghar Province; Lowghar Province), Afghanistan",,30621,"Aynak Cu Deposit (Mes Aynak), Mohammad Agha District (Muhammad Agha District), Lowgar Province (Lawgar Province; Lawghar Province; Logar Province; Loghar Province; Lowghar Province), Afghanistan",34,15,58,69,18,2,"34.266111111111,69.300555555556",Magnetite,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Fe^2+^Fe^3+^_2_O_4_,Fe O,unknown,Spinel,spinel
145,66,158061,"Bailundo, Bailundo City Council, Huambo Province, Angola",,158061,"Bailundo, Bailundo City Council, Huambo Province, Angola",-12,-9,0,15,57,0,"-12.15,15.95",Anatase,Ti<sup>4+</sup>O<sub>2</sub>,Ti^4+^O_2_,Ti O,France,Â ,Â 
145,66,158061,"Bailundo, Bailundo City Council, Huambo Province, Angola",,158061,"Bailundo, Bailundo City Council, Huambo Province, Angola",-12,-9,0,15,57,0,"-12.15,15.95",Brookite,Ti<sup>4+</sup>O<sub>2</sub>,Ti^4+^O_2_,Ti O,United Kingdom,Â ,Â 
145,66,158061,"Bailundo, Bailundo City Council, Huambo Province, Angola",,158061,"Bailundo, Bailundo City Council, Huambo Province, Angola",-12,-9,0,15,57,0,"-12.15,15.95",Cerianite-(Ce),CeO<sub>2</sub>,CeO_2_,Ce O,Canada,Fluorite,uraninite
145,66,158061,"Bailundo, Bailundo City Council, Huambo Province, Angola",,158061,"Bailundo, Bailundo City Council, Huambo Province, Angola",-12,-9,0,15,57,0,"-12.15,15.95",Goethite,Fe<sup>3+</sup>O(OH),Fe^3+^O(OH),Fe O H,Germany,Â ,diaspore
145,66,158061,"Bailundo, Bailundo City Council, Huambo Province, Angola",,158061,"Bailundo, Bailundo City Council, Huambo Province, Angola",-12,-9,0,15,57,0,"-12.15,15.95",Hematite,Fe<sup>3+</sup><sub>2</sub>O<sub>3</sub>,Fe^3+^_2_O_3_,Fe O,unknown,Corundum,hematite
145,66,158061,"Bailundo, Bailundo City Council, Huambo Province, Angola",,158061,"Bailundo, Bailundo City Council, Huambo Province, Angola",-12,-9,0,15,57,0,"-12.15,15.95",Hibonite,"(Ca,Ce)(Al,Ti<sup>4+</sup>,Ti<sup>3+</sup>,Mg)<sub>12</sub>O<sub>19</sub>","(Ca,Ce)(Al,Ti^4+^,Ti^3+^,Mg)_12_O_19_",Ca Ce Al Ti Mg O,Madagascar,Plumboferrite,plumboferrite
145,66,158061,"Bailundo, Bailundo City Council, Huambo Province, Angola",,158061,"Bailundo, Bailundo City Council, Huambo Province, Angola",-12,-9,0,15,57,0,"-12.15,15.95",Hollandite,Ba(Mn<sup>4+</sup><sub>6</sub>Mn<sup>3+</sup><sub>2</sub>)O<sub>16</sub>,Ba(Mn^4+^_6_Mn^3+^_2_)O_16_,Ba Mn O,India,Coronadite,coronadite
145,66,158061,"Bailundo, Bailundo City Council, Huambo Province, Angola",,158061,"Bailundo, Bailundo City Council, Huambo Province, Angola",-12,-9,0,15,57,0,"-12.15,15.95",Ilmenite,Fe<sup>2+</sup>Ti<sup>4+</sup>O<sub>3</sub>,Fe^2+^Ti^4+^O_3_,Fe Ti O,Russia,Corundum,ilmenite
145,66,158061,"Bailundo, Bailundo City Council, Huambo Province, Angola",,158061,"Bailundo, Bailundo City Council, Huambo Province, Angola",-12,-9,0,15,57,0,"-12.15,15.95",Lepidocrocite,Fe<sup>3+</sup>O(OH),Fe^3+^O(OH),Fe O H,Czech Republic,Â ,Â 
